group,n,mean,median,sd,mean_ci_low,mean_ci_high,skewness
Screen negative,255,61.58039215686274,62.0,11.618967312993469,60.1474792167528,63.01330509697269,-0.11202633435178805
Screen positive,251,59.44223107569721,60.0,10.674064333813547,58.11529932443411,60.769162826960304,-0.14924290646933086
