model,n,residual_skew,breusch_pagan_p,cooks_d_max,cooks_d_above_4_over_n,R_squared,VIF_inattention,VIF_hyperactivity,VIF_age,VIF_matric_mark,VIF_nbt_alql
marks_joint_raw,506,-0.14074417797012712,0.24048597065522345,0.04672589977794194,24,0.026622331518503572,1.4891279961193702,1.4891279961193702,,,
marks_joint_sd,506,-0.1407441779701271,0.24048597065520988,0.04672589977794185,24,0.026622331518503572,1.4891279961193702,1.4891279961193702,,,
marks_adjusted_raw,506,-0.2685191041850767,0.8440740059423588,0.03305667595795607,21,0.2935882083200392,1.5412887292375665,1.5453153981524503,1.009232380679945,1.2783818881411368,1.2781168498425737
marks_adjusted_sd,506,-0.26851910418507624,0.8440740059423432,0.03305667595795602,21,0.29358820832003907,1.5412887292375663,1.5453153981524503,1.0092323806799453,1.2783818881411368,1.278116849842574
adjustment_joint_raw,488,-0.5234765249865078,0.4545321692289883,0.03363901559309582,29,0.05167793508330787,1.4763405646304506,1.4763405646304506,,,
adjustment_adjusted_raw,488,-0.4992565656146216,0.6024708951194001,0.024873136211747016,24,0.06729231618078668,1.5294427391878749,1.5343244853431237,1.0112635813521031,1.2795824444498134,1.279162747702323
change_adjusted_raw,176,-0.2449434549393718,0.22438058868447375,0.09289384717826239,7,0.12909366359570873,1.6609473817909384,1.6775040780114405,1.0320003682170138,1.3504017104748118,1.3659434345174524
