test_id,family,predictor,outcome,n,pearson_r,r_ci_low,r_ci_high,p,spearman_rho,spearman_p,slope,slope_ci_low,slope_ci_high,slope_p_HC3,R_squared
inattention__adjustment_stored_sensitivity,sensitivity,inattention,adjustment_stored_sensitivity,506,-0.2136650601346166,-0.2953331909050766,-0.1288970730165248,1.2314145488384815e-06,-0.22214351593684262,4.4682707549174923e-07,-0.1558906266834012,-0.22121674018010937,-0.09056451318669304,3.549234469077924e-06,0.04565275792232937
adhd_total__adjustment_stored_sensitivity,sensitivity,adhd_total,adjustment_stored_sensitivity,506,-0.1454795532086342,-0.22973490733575389,-0.059059823805252404,0.0010312328187117984,-0.16024941329188347,0.000295490110191722,-0.06169288437932148,-0.09969224250162588,-0.02369352625701708,0.0015128155933456769,0.021164300401783964
inattention__anxiety_stored_sensitivity,sensitivity,inattention,anxiety_stored_sensitivity,506,0.4476439424202153,0.37511234342737526,0.5147276767391658,2.643613128637554e-26,0.4438396451914226,7.745289167235395e-26,0.8537739314032898,0.703909425259471,1.0036384375471088,3.998376481292132e-26,0.20038509918551306
inattention__course_mark,sensitivity_excluding_cooks_d_gt_4_over_n,inattention,course_mark,482,-0.12068212985066595,-0.20775719527607997,-0.031709507486962926,0.007993681617901743,-0.1129596570983491,0.013083792345150818,-0.19563099047344312,-0.32330849684205126,-0.06795348410483498,0.0027437796807434226,0.014564176465292955
inattention__adjustment,sensitivity_excluding_cooks_d_gt_4_over_n,inattention,adjustment,456,-0.26689322151445016,-0.35013965037359235,-0.1794638363479573,7.0817769485629716e-09,-0.2655143180154357,8.514598158412709e-09,-0.17149688988248696,-0.22334411012549826,-0.11964966963947565,2.113952781938302e-10,0.07123199169036121
